image_name,Type_1,Type_2,Type_3
0.jpg,0,1,0
1.jpg,0,1,0
2.jpg,1,0,0
3.jpg,0,0,1
4.jpg,0,0,1
5.jpg,0,1,0
6.jpg,0,1,0
7.jpg,0,1,0
8.jpg,0,1,0
9.jpg,0,1,0
10.jpg,0,1,0
11.jpg,0,0,1
12.jpg,0,1,0
13.jpg,0,0,1
14.jpg,0,1,0
15.jpg,0,0,1
16.jpg,1,0,0
17.jpg,0,1,0
18.jpg,0,1,0
19.jpg,0,0,1
20.jpg,1,0,0
21.jpg,0,1,0
22.jpg,0,1,0
23.jpg,1,0,0
24.jpg,0,1,0
25.jpg,1,0,0
26.jpg,0,1,0
27.jpg,0,0,1
28.jpg,0,1,0
29.jpg,0,0,1
30.jpg,1,0,0
31.jpg,0,1,0
32.jpg,0,1,0
33.jpg,1,0,0
34.jpg,0,1,0
35.jpg,0,0,1
36.jpg,0,1,0
37.jpg,0,1,0
38.jpg,0,1,0
39.jpg,1,0,0
40.jpg,0,0,1
41.jpg,0,1,0
42.jpg,0,1,0
43.jpg,0,1,0
44.jpg,1,0,0
45.jpg,0,0,1
46.jpg,1,0,0
47.jpg,1,0,0
48.jpg,0,0,1
49.jpg,0,0,1
50.jpg,0,0,1
51.jpg,1,0,0
52.jpg,0,0,1
53.jpg,1,0,0
54.jpg,0,0,1
55.jpg,0,0,1
56.jpg,0,1,0
57.jpg,0,1,0
58.jpg,0,1,0
59.jpg,1,0,0
60.jpg,0,0,1
61.jpg,0,1,0
62.jpg,0,0,1
63.jpg,0,1,0
64.jpg,0,1,0
65.jpg,1,0,0
66.jpg,0,0,1
67.jpg,0,0,1
68.jpg,0,0,1
69.jpg,0,0,1
70.jpg,1,0,0
71.jpg,0,1,0
72.jpg,0,1,0
73.jpg,1,0,0
74.jpg,0,0,1
75.jpg,1,0,0
76.jpg,0,0,1
77.jpg,0,1,0
78.jpg,0,0,1
79.jpg,1,0,0
80.jpg,0,1,0
81.jpg,0,1,0
82.jpg,0,1,0
83.jpg,0,0,1
84.jpg,1,0,0
85.jpg,0,1,0
86.jpg,0,0,1
87.jpg,0,0,1
88.jpg,0,1,0
89.jpg,0,0,1
90.jpg,1,0,0
91.jpg,0,1,0
92.jpg,0,0,1
93.jpg,0,1,0
94.jpg,0,1,0
95.jpg,0,1,0
96.jpg,1,0,0
97.jpg,0,0,1
98.jpg,0,1,0
99.jpg,0,0,1
100.jpg,1,0,0
101.jpg,0,1,0
102.jpg,0,1,0
103.jpg,1,0,0
104.jpg,0,1,0
105.jpg,0,1,0
106.jpg,0,1,0
107.jpg,0,1,0
108.jpg,0,0,1
109.jpg,0,0,1
